antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"ceapa, supa de oase",carne,0.06614785992217899,0.11932555123216602,0.06614785992217899,1.0,8.380434782608695,1.0,0.05825473007413688,inf,0.9430555555555556,0.5543478260869565,1.0,0.7771739130434783
"sare, supa de oase",carne,0.06614785992217899,0.11932555123216602,0.06614785992217899,1.0,8.380434782608695,1.0,0.05825473007413688,inf,0.9430555555555556,0.5543478260869565,1.0,0.7771739130434783
"paine, supa de oase",carne,0.05966277561608301,0.11932555123216602,0.05966277561608301,1.0,8.380434782608695,1.0,0.052543482027652876,inf,0.9365517241379311,0.5000000000000001,1.0,0.75
rosii in bulion,carne,0.06614785992217899,0.11932555123216602,0.06614785992217899,1.0,8.380434782608695,1.0,0.05825473007413688,inf,0.9430555555555556,0.5543478260869565,1.0,0.7771739130434783
"rosii in bulion, supa de oase",carne,0.06614785992217899,0.11932555123216602,0.06614785992217899,1.0,8.380434782608695,1.0,0.05825473007413688,inf,0.9430555555555556,0.5543478260869565,1.0,0.7771739130434783
"orez, rosii in bulion",carne,0.06614785992217899,0.11932555123216602,0.06614785992217899,1.0,8.380434782608695,1.0,0.05825473007413688,inf,0.9430555555555556,0.5543478260869565,1.0,0.7771739130434783
"bors crud, rosii in bulion",carne,0.06614785992217899,0.11932555123216602,0.06614785992217899,1.0,8.380434782608695,1.0,0.05825473007413688,inf,0.9430555555555556,0.5543478260869565,1.0,0.7771739130434783
"patrunjel radacina, rosii in bulion",carne,0.06614785992217899,0.11932555123216602,0.06614785992217899,1.0,8.380434782608695,1.0,0.05825473007413688,inf,0.9430555555555556,0.5543478260869565,1.0,0.7771739130434783
"ou (crud), rosii in bulion",carne,0.06614785992217899,0.11932555123216602,0.06614785992217899,1.0,8.380434782608695,1.0,0.05825473007413688,inf,0.9430555555555556,0.5543478260869565,1.0,0.7771739130434783
"rosii in bulion, verdeata",carne,0.06614785992217899,0.11932555123216602,0.06614785992217899,1.0,8.380434782608695,1.0,0.05825473007413688,inf,0.9430555555555556,0.5543478260869565,1.0,0.7771739130434783
