antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"fasole verde, verdeata",varza,0.046815834767642,0.05748709122203098,0.033390705679862305,0.713235294117647,12.406877421627332,1.0,0.03069939951593934,3.286711681892404,0.9645560383181989,0.47087378640776695,0.6957445322906372,0.6470368087354702
"bors crud, telina",varza,0.049569707401032705,0.05748709122203098,0.03442340791738382,0.6944444444444443,12.080006653359945,1.0,0.031573789626171266,3.08458770145517,0.9650561390800435,0.4739336492890994,0.6758075643210777,0.6466234198270125
"rosie, varza",fasole verde,0.048537005163511185,0.05783132530120482,0.033734939759036145,0.6950354609929078,12.018321513002364,1.0,0.03092798042427887,3.089436817035584,0.963562125284267,0.4644549763033176,0.6763164100052602,0.6391843971631206
"fasole verde, telina",ardei gras,0.03442340791738382,0.08296041308089501,0.033390705679862305,0.9700000000000001,11.692323651452282,1.0,0.030534925539383993,30.56798623063692,0.9470753624786373,0.3975409836065574,0.9672860360360361,0.6862448132780083
"bors crud, fasole verde",varza,0.05025817555938038,0.05748709122203098,0.033734939759036145,0.6712328767123288,11.67623656795997,1.0,0.030845743436001195,2.8668100975329893,0.9627416026214761,0.4558139534883721,0.6511802435534387,0.629029612008859
"bors crud, telina",fasole verde,0.049569707401032705,0.05783132530120482,0.033046471600688465,0.6666666666666665,11.527777777777775,1.0,0.030179789726893804,2.826506024096384,0.960883737776168,0.44444444444444436,0.6462063086104005,0.619047619047619
"fasole verde, varza",ardei gras,0.033734939759036145,0.08296041308089501,0.03201376936316695,0.9489795918367346,11.43894487255483,1.0,0.029215104825498203,17.973975903614438,0.944439975330491,0.3780487804878048,0.9443640068640068,0.6674358540096537
"ardei gras, cartofi",varza,0.054044750430292596,0.05748709122203098,0.03545611015490534,0.6560509554140128,11.412143865135972,1.0,0.032349234656847206,2.7402690125581697,0.9645002190472152,0.46606334841628966,0.6350723248640274,0.6364087112399406
"apa, varza",fasole verde,0.05129087779690189,0.05783132530120482,0.033734939759036145,0.6577181208053692,11.373042505592842,1.0,0.030768720320179167,2.7526104417670685,0.9613829566659755,0.4474885844748858,0.636708491391888,0.6205257270693513
"ceapa, varza",fasole verde,0.05197934595524957,0.05783132530120482,0.033734939759036145,0.6490066225165563,11.222406181015453,1.0,0.030728905294154243,2.684291884519209,0.9608361863263823,0.44343891402714936,0.6274622719804881,0.6161699779249448
"morcovi, varza",fasole verde,0.05197934595524957,0.05783132530120482,0.033734939759036145,0.6490066225165563,11.222406181015453,1.0,0.030728905294154243,2.684291884519209,0.9608361863263823,0.44343891402714936,0.6274622719804881,0.6161699779249448
"faina, pasta de rosii",condimente,0.04199655765920826,0.06678141135972461,0.03132530120481928,0.7459016393442623,11.169300321108672,1.0,0.028520711812087297,3.6726667036810845,0.9503816341761006,0.40444444444444455,0.7277182819236747,0.607486902146358
"fasole verde, rosie",varza,0.05266781411359724,0.05748709122203098,0.033734939759036145,0.6405228758169935,11.142029666157882,1.0,0.030707220324622808,2.621899546236896,0.9608559266729948,0.4414414414414415,0.6185971344953858,0.6136746115611913
"fasole verde, ulei",varza,0.05335628227194492,0.05748709122203098,0.033734939759036145,0.632258064516129,10.998261541433262,1.0,0.03066764229280041,2.562973699308512,0.9603153988868274,0.43749999999999994,0.6098282240392091,0.6095422059107591
"ardei gras, cartofi",fasole verde,0.054044750430292596,0.05783132530120482,0.034079173838209985,0.6305732484076434,10.903662420382167,1.0,0.030953694295253305,2.55035313668467,0.9601804066869568,0.43805309734513287,0.6078974375682149,0.6099294813466789
"bors crud, rosie",fasole verde,0.08055077452667814,0.05783132530120482,0.05025817555938038,0.6239316239316239,10.788817663817664,1.0,0.04559981751446405,2.5053121577217965,0.986798849130437,0.5703125,0.6008481430476316,0.7464896214896215
"ardei gras, rosie",varza,0.058519793459552494,0.05748709122203098,0.03580034423407917,0.6117647058823529,10.641775272983443,1.0,0.03243621152917547,2.427684765034162,0.9623470679229364,0.4463519313304721,0.5880849052550164,0.6172595984501584
